test_name,b_bp,r_bp,txn_id,op_type,bank,latency_cyc
mem_full_test,0,0,2,WR,7,4.00
mem_full_test,0,0,4,RD,8,6.00
mem_full_test,0,0,7,WR,10,4.00
mem_full_test,0,0,6,RD,0,6.00
mem_full_test,0,0,12,WR,9,4.00
mem_full_test,0,0,10,RD,14,6.00
mem_full_test,0,0,14,WR,15,4.00
mem_full_test,0,0,16,RD,10,6.00
mem_full_test,0,0,18,WR,8,4.00
mem_full_test,0,0,20,RD,0,6.00
mem_full_test,0,0,22,WR,7,4.00
mem_full_test,0,0,24,RD,14,6.00
mem_full_test,0,0,26,WR,13,4.00
mem_full_test,0,0,30,WR,1,4.00
mem_full_test,0,0,28,RD,8,6.00
mem_full_test,0,0,34,WR,10,4.00
mem_full_test,0,0,32,RD,3,6.00
mem_full_test,0,0,37,WR,10,5.00
mem_full_test,0,0,36,RD,4,6.00
mem_full_test,0,0,41,WR,1,4.00
mem_full_test,0,0,40,RD,4,6.00
mem_full_test,0,0,44,RD,2,6.00
mem_full_test,0,0,46,WR,11,4.00
mem_full_test,0,0,48,WR,4,4.00
mem_full_test,0,0,50,RD,11,6.00
mem_full_test,0,0,52,WR,13,4.00
mem_full_test,0,0,54,RD,5,6.00
mem_full_test,0,0,56,WR,1,4.00
mem_full_test,0,0,58,RD,3,6.00
mem_full_test,0,0,60,WR,4,4.00
mem_full_test,0,0,62,RD,11,6.00
mem_full_test,0,0,65,WR,9,4.00
mem_full_test,0,0,64,RD,0,6.00
mem_full_test,0,0,68,WR,9,4.00
mem_full_test,0,0,70,RD,5,6.00
mem_full_test,0,0,72,WR,8,4.00
mem_full_test,0,0,74,RD,0,6.00
mem_full_test,0,0,76,WR,8,4.00
mem_full_test,0,0,78,RD,13,6.00
mem_full_test,0,0,80,WR,15,4.00
mem_full_test,0,0,82,RD,8,6.00
mem_full_test,0,0,84,WR,8,4.00
mem_full_test,0,0,86,RD,2,6.00
mem_full_test,0,0,89,WR,0,4.00
mem_full_test,0,0,88,RD,11,6.00
mem_full_test,0,0,92,WR,0,4.00
mem_full_test,0,0,94,RD,5,6.00
mem_full_test,0,0,96,WR,14,4.00
mem_full_test,0,0,98,RD,15,6.00
mem_full_test,0,0,101,WR,14,4.00
mem_full_test,0,0,100,RD,15,6.00
mem_full_test,0,0,104,RD,12,6.00
mem_full_test,0,0,106,WR,5,4.00
mem_full_test,0,0,108,RD,1,6.00
mem_full_test,0,0,112,WR,1,4.00
mem_full_test,0,0,110,RD,3,6.00
